salad,369,5.74,9
salute,370,5.92,3
sapphire,371,7,5
satisfied,372,7.94,36
save,969,6.45,62
savior,373,7.73,6
scalding,970,2.82,1
scandal,971,3.32,8
scapegoat,972,3.67,1
scar,973,3.38,10
scared,604,2.78,21
scholar,374,7.26,15
scissors,974,5.05,1
scorching,975,3.76,6
scorn,375,2.84,4
scornful,376,3.02,5
scorpion,976,3.69,2
scream,605,3.88,13
scum,377,2.43,1
scurvy,378,3.19,1
seasick,379,2.05,3
seat,380,4.95,54
secure,381,7.57,30
selfish,382,2.42,8
sentiment,977,5.98,23
serious,383,5.08,116
severe,978,3.2,39
sex,384,8.05,84
sexy,530,8.02,2
shadow,385,4.35,36
shamed,386,2.5,1
shark,606,3.65,5
sheltered,387,5.75,4
ship,388,5.55,83
shotgun,979,4.37,8
shriek,980,3.93,5
shy,389,4.64,13
sick,607,1.9,51
sickness,390,2.25,6
silk,391,6.9,12
silly,981,7.41,15
sin,392,2.8,53
sinful,393,2.93,3
sissy,394,3.14,6
skeptical,395,4.52,7
skijump,531,7.06,7
skull,608,4.27,3
sky,572,7.37,58
skyscraper,573,5.88,2
slap,396,2.95,2
slaughter,397,1.64,10
slave,398,1.84,30
sleep,399,7.2,65
slime,400,2.68,1
slow,982,3.93,60
slum,401,2.39,8
slush,983,4.66,2
smallpox,402,2.52,2
smooth,984,6.58,42
snake,609,3.31,44
snob,403,3.36,1
snow,575,7.08,59
snuggle,404,7.92,4
social,985,6.88,380
soft,986,7.12,61
solemn,405,4.32,12
song,987,7.1,70
soothe,988,7.3,2
sour,989,3.93,3
space,574,6.78,184
spanking,990,3.55,9
sphere,991,5.33,22
spider,610,3.33,2
spirit,406,7,182
spouse,407,7.58,3
spray,992,5.45,16
spring,993,7.76,127
square,408,4.74,143
stagnant,994,4.15,5
star,409,7.27,25
startled,410,4.5,21
starving,611,2.39,6
statue,995,5.17,17
stench,996,2.19,1
stiff,997,4.68,21
stink,411,3,3
stomach,998,4.82,37
stool,999,4.56,8
storm,1000,4.95,26
stove,1001,4.98,15
street,412,5.22,244
stress,413,2.09,107
strong,414,7.11,202
stupid,415,2.31,24
subdued,416,4.67,8
success,417,8.29,93
suffocate,418,1.56,1
sugar,1002,6.74,34
suicide,419,1.25,17
sun,532,7.55,112
sunlight,1003,7.76,17
sunrise,420,7.86,10
sunset,421,7.68,14
surgery,612,2.86,6
surprised,422,7.47,58
suspicious,423,3.76,13
swamp,1004,5.14,5
sweetheart,424,8.42,9
swift,1005,6.46,32
swimmer,576,6.54,12
syphilis,425,1.68,32
table,426,5.22,198
talent,427,7.56,40
tamper,1006,4.1,1
tank,613,5.16,12
taste,1007,6.66,59
taxi,1008,5,16
teacher,1009,5.68,80
tease,1010,4.84,6
tender,1011,6.93,11
tennis,540,6.02,15
tense,428,3.56,15
termite,429,3.58,30
terrible,430,1.93,45
terrific,431,8.16,5
terrified,432,1.72,7
terrorist,614,1.69,31
thankful,433,6.89,6
theory,434,5.3,129
thermometer,1012,4.73,35
thief,435,2.13,8
thorn,436,3.64,3
thought,1013,6.39,515
thoughtful,437,7.65,11
thrill,438,8.05,5
tidy,1014,6.3,1
time,439,5.31,1599
timid,440,3.86,5
tobacco,441,3.28,19
tomb,442,2.94,11
tool,1015,5.19,40
toothache,443,1.98,16
tornado,444,2.55,1
torture,445,1.56,3
tower,1016,5.46,13
toxic,446,2.1,3
toy,1017,7,4
tragedy,447,1.78,49
traitor,448,2.22,2
trash,615,2.67,2
trauma,616,2.1,1
travel,1018,7.1,61
treasure,449,8.27,4
treat,1019,7.36,26
tree,450,6.32,59
triumph,451,7.8,22
triumphant,452,8.82,5
trophy,453,7.78,8
trouble,454,3.03,134
troubled,455,2.17,31
truck,577,5.47,57
trumpet,456,5.75,7
trunk,1020,5.09,8
trust,457,6.68,52
truth,458,7.8,126
tumor,459,2.36,17
tune,1021,6.93,10
twilight,1022,7.23,4
ugly,460,2.43,21
ulcer,461,1.78,5
umbrella,578,5.16,8
unfaithful,462,2.05,1
unhappy,463,1.57,26
unit,1023,5.59,103
untroubled,464,7.62,21
