Description,Valence_Mean,Valence_ SD,Arousal_ Mean,Arousal_ SD,Word Frequency
life,7.27,1.88,6.02,2.62,715
lightbulb,5.61,1.28,4.1,2.02,.
lighthouse,5.89,2.08,4.41,2.44,.
lightning,4.57,2.66,6.61,1.77,14
limber,5.68,1.49,4.57,2.26,2
lion,5.57,1.99,6.2,2.16,17
listless,4.12,1.73,4.1,2.31,1
lively,7.2,1.97,5.53,2.9,26
locker,5.19,1.31,3.38,2.13,9
loneliness,1.61,1.02,4.56,2.97,9
lonely,2.17,1.76,4.51,2.68,25
loser,2.25,1.48,4.95,2.57,1
lost,2.82,1.83,5.82,2.62,173
lottery,6.57,2.04,5.36,2.45,1
louse,2.81,1.92,4.98,2.03,3
love,8.72,0.7,6.44,3.35,232
loved,8.64,0.71,6.38,2.68,56
loyal,7.55,1.9,5.16,2.42,18
lucky,8.17,1.06,6.53,2.34,21
lump,4.16,2.34,4.8,2.82,7
luscious,7.5,1.08,5.34,2.51,2
lust,7.12,1.62,6.88,1.85,5
luxury,7.88,1.49,4.75,2.91,21
machine,5.09,1.67,3.82,2.4,103
mad,2.44,1.72,6.76,2.26,39
madman,3.91,2.49,5.56,2.78,2
maggot,2.06,1.47,5.28,2.96,2
magical,7.46,1.64,5.95,2.36,12
mail,6.88,1.74,5.63,2.36,47
malaria,2.4,1.38,4.4,2.54,3
malice,2.69,1.84,5.86,2.75,2
man,6.73,1.7,5.24,2.31,1207
mangle,3.9,2.01,5.44,2.1,.
maniac,3.76,2,5.39,2.46,4
manner,5.64,1.34,4.56,1.78,124
mantel,4.93,1.4,3.27,2.23,3
manure,3.1,1.74,4.17,2.09,6
market,5.66,1.02,4.12,1.83,155
massacre,2.28,1.74,5.33,2.63,1
masterful,7.09,1.78,5.2,2.85,2
masturbate,5.45,2.02,5.67,2.18,.
material,5.26,1.29,4.05,2.34,174
measles,2.74,1.97,5.06,2.44,2
medicine,5.67,2.06,4.4,2.36,30
meek,3.87,1.69,3.8,2.13,10
melody,7.07,1.79,4.98,2.52,21
memories,7.48,1.61,6.1,2.1,15
memory,6.62,1.5,5.42,2.25,76
menace,2.88,1.64,5.52,2.45,9
merry,7.9,1.49,5.9,2.42,8
messy,3.15,1.73,3.34,2.37,3
metal,4.95,1.17,3.79,1.96,61
method,5.56,1.76,3.85,2.58,142
mighty,6.54,2.19,5.61,2.38,29
mildew,3.17,1.36,4.08,1.79,1
milk,5.95,2.16,3.68,2.57,49
millionaire,8.03,1.42,6.14,2.7,2
mind,6.68,1.84,5,2.68,325
miracle,8.6,0.71,7.65,1.67,16
mischief,5.57,2.05,5.76,1.95,5
misery,1.93,1.6,5.17,2.69,15
mistake,2.86,1.79,5.18,2.42,34
mobility,6.83,1.79,5,2.18,8
modest,5.76,1.28,3.98,2.24,29
mold,3.55,1.7,4.07,1.98,45
moment,5.76,1.65,3.83,2.29,246
money,7.59,1.4,5.7,2.66,265
month,5.15,1.09,4.03,1.77,130
moody,3.2,1.58,4.18,2.38,5
moral,6.2,1.85,4.49,2.28,142
morbid,2.87,2.14,5.06,2.68,1
morgue,1.92,1.32,4.84,2.96,1
mosquito,2.8,1.91,4.78,2.72,1
mother,8.39,1.15,6.13,2.71,216
mountain,6.59,1.66,5.49,2.43,33
movie,6.86,1.81,4.93,2.54,29
mucus,3.34,2.29,3.41,2.17,2
muddy,4.44,2.07,4.13,2.13,10
muffin,6.57,2.04,4.76,2.42,.
murderer,1.53,0.96,7.47,2.18,19
muscular,6.82,1.63,5.47,2.2,16
museum,5.54,1.86,3.6,2.13,32
mushroom,5.78,2.22,4.72,2.33,2
music,8.13,1.09,5.32,3.19,216
mutation,3.91,2.44,4.84,2.52,.
mutilate,1.82,1.45,6.41,2.94,3
mystic,6,2.21,4.84,2.57,3
naked,6.34,2.42,5.8,2.8,32
name,5.55,2.24,4.25,2.47,294
narcotic,4.29,2.3,4.93,2.57,2
nasty,3.58,2.38,4.89,2.5,5
natural,6.59,1.57,4.09,2.37,156
nature,7.65,1.37,4.37,2.51,191
nectar,6.9,1.53,3.89,2.48,3
needle,3.82,1.73,5.36,2.89,15
neglect,2.63,1.64,4.83,2.31,12
nervous,3.29,1.47,6.59,2.07,24
neurotic,4.45,2.23,5.13,2.76,10
news,5.3,1.67,5.17,2.11,102
nice,6.55,2.44,4.38,2.69,75
nightmare,1.91,1.54,7.59,2.23,9
nipple,6.27,1.81,5.56,2.55,.
noisy,5.02,2.02,6.38,1.78,6
nonchalant,4.74,1.11,3.12,1.93,1
nonsense,4.61,1.63,4.17,2.02,13
noose,3.76,1.64,4.39,2.08,3
